City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Max Temp,Wind Speed
0,rikitea,44,jp,1531368521,100,-23.12,72,15.9
1,katsuura,75,ao,1531364400,74,33.93,84.2,5.82
2,priargunsk,76,us,1531368522,92,50.37,71.37,11.88
3,namibe,0,cl,1531368522,100,-15.19,68.4,7.74
4,broome,0,gf,1531367760,93,52.47,57.2,4.7
5,kapaa,40,ng,1531364160,74,22.08,84.2,16.11
6,castro,92,ml,1531368523,97,-42.48,49.05,11.65
7,cayenne,68,nc,1531366200,100,4.94,75.2,2.24
8,pevek,44,ag,1531368524,67,69.7,48.51,12.44
9,biu,56,cl,1531368524,82,10.61,72.27,5.61
10,huarmey,56,cl,1531368241,87,-10.07,57.51,3.94
11,tessalit,0,nz,1531368524,25,20.2,81.81,11.32
12,springbok,12,za,1531368524,52,-29.67,44.37,6.06
13,kaitangata,0,za,1531368525,73,-46.28,46.98,15.46
14,caucaia,20,pf,1531364400,88,-3.73,77,6.93
15,fayaoue,92,re,1531368525,99,-20.65,73.98,3.83
16,codrington,68,us,1531368525,93,-28.95,56.7,5.17
17,qaanaaq,68,nz,1531368525,95,77.48,32.76,8.63
18,hobart,20,za,1531364400,66,-42.88,51.8,9.17
19,monte patria,0,ar,1531368526,68,-30.69,37.8,2.37
20,khatanga,92,ne,1531368526,97,71.98,48.42,12.66
21,punta arenas,75,mn,1531364400,100,-53.16,32,12.75
22,dwarka,40,us,1531362600,70,28.58,87.8,3.36
23,russell,0,za,1531364400,86,-33.01,39.2,1.92
24,arraial do cabo,20,ec,1531368527,100,-22.97,64.8,16.02
25,east london,0,th,1531364400,45,-33.02,66.2,5.82
26,port elizabeth,75,af,1531367700,83,39.31,80.6,3.36
27,atuona,8,cl,1531368528,100,-9.8,79.56,21.72
28,saint-philippe,1,us,1531367700,82,45.36,69.8,3.36
29,preston,0,ml,1531367400,88,53.76,62.6,3.36
30,port alfred,0,pf,1531368529,65,-33.59,69.93,11.1
31,rawson,80,fo,1531368304,71,-43.3,41.94,8.97
32,tanout,0,gb,1531368529,55,14.97,79.11,6.73
33,raudeberg,75,gp,1531367400,87,61.99,57.2,2.24
34,baruun-urt,0,bo,1531368530,58,46.68,70.92,12.66
35,provideniya,0,ca,1531366200,75,64.42,46.4,8.95
36,mogocha,92,ml,1531368530,99,53.73,60.39,6.29
37,glendive,1,is,1531366500,72,47.11,73.4,4.7
38,hermanus,20,ar,1531368531,47,-34.42,63.27,15.9
39,thompson,90,us,1531366440,93,55.74,66.2,6.93
40,bathurst,36,us,1531368531,86,-33.42,45.18,3.6
41,puerto ayora,12,pw,1531368531,100,-0.74,72,11.88
42,ranong,40,za,1531364400,79,9.96,86,11.41
43,qarqin,0,mx,1531368532,24,37.41,90.63,16.35
44,ancud,92,sb,1531368532,96,-41.87,50.49,15.35
45,nanortalik,80,br,1531368532,91,60.14,38.07,8.41
46,hilo,75,au,1531365660,69,19.71,80.6,12.75
47,taoudenni,0,us,1531368533,18,22.68,79.38,2.82
48,whitehorse,75,au,1531364400,41,60.72,60.8,18.34
49,mataura,0,mr,1531368533,78,-46.19,47.79,10.31
50,klaksvik,20,ng,1531367400,100,62.23,46.4,3.36
51,stranraer,75,br,1531367040,77,51.71,66.2,8.05
52,vieux-habitants,20,br,1531366200,78,16.06,78.8,6.93
53,meulaboh,76,mx,1531368534,100,4.14,81.99,3.83
54,santa rosa,0,ca,1531368536,87,-36.62,40.05,8.75
55,geraldton,75,sh,1531364400,59,49.72,66.2,4.7
56,carnarvon,0,au,1531368536,67,-30.97,50.67,18.59
57,ust-barguzin,92,mr,1531368537,99,53.41,52.92,2.93
58,tuktoyaktuk,75,mx,1531364400,86,69.44,41,10.29
59,hami,68,ar,1531368537,33,42.84,88.47,5.17
60,nioro,0,pf,1531368537,86,13.79,77.04,10.42
61,husavik,0,us,1531368537,61,50.56,77.31,15.01
62,tilichiki,20,ph,1531368538,71,60.47,59.31,4.61
63,ushuaia,0,au,1531368473,100,-54.81,27,8.63
64,barrow,0,cv,1531368386,83,-38.31,44.1,14.23
65,tual,32,tc,1531368538,100,-5.67,79.56,17.02
66,scottsboro,20,au,1531367700,94,34.67,78.8,3.04
